basket,shop,item,product,order_url,unit_price_eur_incl_vat,qty,line_total_eur,checked,notes
C,offgridtec (DE),Solar panel,100 W mono 12 V panel,https://www.offgridtec.com/offgridtecr-100w-mono-solarpanel-12v.html,60.00,1,60.00,estimate,"100 Wp where a crop grows over the panel. On grass, a short crop or a headland a 50 Wp is enough and halves the wind load; see the panel-sizing note on the kit page"
C,offgridtec (DE),Battery,Offgridtec LiFePO4 12/18 12.8 V 18 Ah BMS 230 Wh,https://www.offgridtec.com/offgridtec-lifepo4-akku-12-18-12-8v-18ah-bms-integriert-230wh.html,41.64,1,41.64,2026-09-12,"check the BMS low-temperature charge cutoff: LiFePO4 must not be charged below 0 C, so a Dutch frost week is a no-charge week. Insulate it inside the box"
D,1nce.com,SIM,1NCE IoT Lifetime Flat 500 MB / 10 yr,https://www.1nce.com/en-eu/1nce-connect/pricing,12.00,1,12.00,2026-09-12,only works because detections and not audio leave the node
E,TelecomShop (NL),Modem,Brovi/Huawei E3372-325 USB 4G stick,https://www.telecomshop.nl/huawei-e3372-325-4g-dongle.html,45.00,1,45.00,2026-09-12,bol.com listed 38.95; compare before ordering
alt,bouwmarkt,Probe cable,Outdoor 4-core 0.75 mm2 cable 20 m + junction box,,25.00,0,0.00,estimate,"not needed: the SEN0600 ships with a 2 m lead of its own, and the probes sit 1.5 m from the post, so the probe cable goes straight into a gland"
F,bouwmarkt,Post and mount,"2 m post, pressure-treated class 4, + 2 stainless hose clamps + M8 through-bolts for the panel brackets + cable lock + UV ties + spade",,55.00,1,55.00,estimate,untreated timber rots at the ground line in 3 to 5 years; class 4 lasts 10 to 15. Bolt the panel brackets through the post: hose clamps loosen as timber shrinks
alt,Opencircuit (NL),RS485 adapter,Waveshare Industrial USB TO RS485,https://opencircuit.shop/product/industrial-usb-to-rs485-bidirectional,13.50,0,0,2026-09-12,superseded by the Berrybase line at 9.90
alt,DomoticX (NL),RS485 adapter,USB-A to RS485 2-pin CH340,https://webshop.domoticx.nl/index.php?route=product/product&product_id=386,2.54,0,0,2026-09-13,cheapest option but no surge protection; bench only
alt,bol.com (NL),Microphone,Boya BY-M1 Pro lavalier plus USB sound card,https://www.bol.com/nl/nl/p/boya-lavalier-microfoon-by-m1-pro/9200000127214173/,45.00,0,0.00,2026-09-13,only needed if the microphone goes on a mast. With an in-box mic port the INMP441 does the job for 3.10
alt,solarpower-shop.de,Solar panel,Offgridtec 50 W mono 12 V,https://www.solarpower-shop.de/offgridtec-50w-mono-12v-solarpanel,25.90,0,0,2026-09-13,"the right choice on a site with no summer canopy over the panel: halves the sail area, lets the post go back to 600 mm"
alt,Obelink (NL),Charge controller,Victron SmartSolar MPPT 75/10,https://www.obelink.nl/victron-smartsolar-mppt-75-10-laadregelaar.html,49.90,0,0,2026-09-12,14.99 cheaper than reichelt at the cost of one more shipment
alt,Veldshop (NL),Reference unit,BirdWeather PUC,https://www.veldshop.nl/en/birdweather-puc.html,289.00,0,0,2026-09-13,independent BirdNET implementation to check the node's own detections against
C,offgridtec (DE),W1 panel lead,Solar-Connection Kit 1: 10 m 4 mm2 Lapp solar cable + 1 pair Staubli MC4 connectors,https://www.offgridtec.com/solar-connection-kit-1-10m-solarkabel-mc4-stecker.html,13.07,1,13.07,2026-09-17 ships 1-3 days,"Art 0005-10001. Replaces the guessed MC4 pigtail line and rides along with the panel and battery. 10 m is more than the 1 m needed, but it is the right H1Z2Z2-K solar cable with proper Staubli connectors, cheaper than the estimate"
G,cables/connectors,W2 battery lead,"2 x 2.5 mm2 flexible red/black, 1 m",,4.00,1,4.00,estimate,
G,cables/connectors,W2 fuse,inline blade fuse holder + 15 A fuse,,4.00,1,4.00,estimate,Victron wants a fuse close to the battery. Do not skip this one
A,Berrybase (DE),terminations,"Wire end ferrule assortment 0.5-2.5 mm2, insulated, 400 pieces",https://www.berrybase.de/en/wire-end-ferrule-assortment-0.5-2.5mm2-insulated-shaker-tin-400-pieces,4.90,1,4.90,2026-09-15,ring terminals for the battery posts come with basket G
alt,cables/connectors,12 V distribution,"WAGO 221 lever connectors, 6 way",,7.00,0,0.00,estimate,"not needed: with the buck and the probe rail gone, the load output feeds one thing, the Witty Pi 4, on two wires"
alt,cables/connectors,W5 buck to Witty Pi,USB-A to USB-C cable 0.3 m,,3.00,0,0.00,estimate,not needed: the Witty Pi 4 powers the Pi through the GPIO header
alt,cables/connectors,W11 antenna pigtail,CRC9 male to SMA female pigtail,,7.00,0,0.00,estimate,not needed: the 4G stick radiates through the polycarbonate wall. Buy only if a bench test shows the signal is short
alt,cables/connectors,W12 antenna extension,SMA male/female RG174 extension 2 m,,8.00,0,0.00,estimate,not needed: the 4G stick radiates through the polycarbonate wall. Buy only if a bench test shows the signal is short
alt,cables/connectors,W12 antenna,4G whip antenna SMA male,,10.00,0,0.00,estimate,not needed: the 4G stick radiates through the polycarbonate wall. Buy only if a bench test shows the signal is short
alt,cables/connectors,W10 probe junction,IP68 junction box + 8 gel-filled crimps,,12.00,0,0.00,estimate,not needed once there is no extension cable to splice onto
A,Berrybase (DE),consumables,Heat shrink assortment 100 pc black + UV cable ties 200x3.6 mm 100 pc,https://www.berrybase.de/en/heat-shrink-tubing-assortment-100-pieces-black-in-plastic-box,3.95,1,3.95,2026-09-15,2.80 + 1.15. The matt green paint and self-amalgamating tape are in basket G
A,Berrybase (DE),mounting,"420-piece nylon spacer assortment, M2.5",https://www.berrybase.de/en/420-piece-nylon-spacer-assortment-in-plastic-box-m2.5-white,13.90,1,13.90,2026-09-15,"nylon, not brass: nothing metal near the 4G antenna"
G,PCB Artists (online),mic port,"IP67 ePTFE acoustic membrane, adhesive, pack",https://pcbartists.com/product/ip67-acoustic-membrane/,12.00,1,12.00,estimate,"pack of 20, adhesive, under 2 dB loss 1-5 kHz. Any IP67 ePTFE acoustic membrane will do; this is a known source"
A,Berrybase (DE),I2S header,"Stacking header for Raspberry Pi, 2x20 = 40 poles, RM 2.54",https://www.berrybase.de/en/stacking-header-for-raspberry-2x20-40-poles-rm-2.54,1.60,1,1.60,2026-09-15,raises the Witty Pi so the I2S pins stay reachable
G,cables/connectors,mounting plate,3 mm plastic sheet cut to the box,,5.00,1,5.00,estimate,replaces the galvanised steel plate the enclosure ships with: steel beside the 4G antenna detunes it
alt,cables/connectors,probe switch,"MOSFET switch module, logic-level, for the 12 V probe rail",,2.50,0,0.00,estimate,"not needed: the probes take 5 V from a USB port, so the Witty Pi switches them with the Pi. Costs about 5 Wh/day in summer and 0.5 in winter, against margins of 25 and 40"
alt,cables/connectors,earth,1 m earth rod + clamp + 2 m of 6 mm2 green/yellow,,12.00,0,0.00,estimate,dropped with the 20 m run: 1.5 m of cable is not a surge collector. The adapter keeps its own surge protection
G,cables/connectors,windscreen,"open-cell foam microphone windscreen, glued over the port",,3.00,1,3.00,estimate,a flush port in a flat wall in wind is turbulence straight onto the membrane
alt,UUGear (DE),Scheduler,Witty Pi 4 Mini,https://www.uugear.com/product/witty-pi-4-mini/,23.80,0,0.00,2026-09-14,"superseded by the full Witty Pi 4, whose on-board DC/DC replaces the buck and its cable and passes 3 A instead of 2.5"
A,Berrybase (DE),conformal coating,"teslanol T7 insulating and protective lacquer spray, 200 ml",https://www.berrybase.de/en/teslanol-t7-insulating-and-protective-lacquer-plastic-spray/contents-200-ml,4.90,1,4.90,2026-09-15,"coat the Pi, RS485 adapter and mic board. Replaces silica gel, which nobody regenerates"
G,cables/connectors,mic hood,"small rigid cap over the mic port, foam inside, opening downward",,4.00,1,4.00,estimate,open-cell foam crumbles under UV in a season or two; shaded inside a cap it lasts
alt,bouwmarkt,ground screw,galvanised ground screw 68 x 865 mm with a turning bar,,22.00,0,0.00,estimate,"for arable sites where the node is lifted every autumn: out and back in ten minutes, reusable, no post-driver. On a headland the timber post is fine"
alt,Conrad / Elektrobode (NL),"Enclosure, fleet",Spelsberg AKi 2-g polycarbonate 300 x 300 x 132 IP65 grey,,98.00,0,0.00,2026-09-12 (-t variant),polycarbonate is UV-stable for a decade; the extra 100 mm of height also removes the 43 mm headroom problem. Costs about 66 more than the ABS box and lifts the panel 100 mm. The right box once there are twenty nodes
D,UUGear (DE),Scheduler + DC/DC,Witty Pi 4,https://www.uugear.com/product/witty-pi-4/,35.11,1,35.11,2026-09-15,"from the manual: MP4462 DC/DC, 6 to 30 V in on XH2.54 (30 cm lead supplied), up to 3 A out, 0.5 mA standby, RTC, scheduled boot and shutdown, and its own low-input-voltage shutdown and recovery thresholds. Uses GPIO 2, 3, 4, 17 and watches 14; I2S pins free"
A,Berrybase (DE),probe power,"Adapter USB 3.0-A socket to terminal block, 10 pin",https://www.berrybase.de/en/adapter-usb-3.0-a-socket-terminal-block-10-pin,8.90,1,8.90,2026-09-15,5 V and GND for both probes from a Pi USB port
G,Amazon.nl / bouwmarkt,paint,"Matt green outdoor spray paint for plastic, 400 ml",,12.00,1,12.00,estimate,"UV protection for the ABS box first, camouflage second. Plastic primer if the can does not say it bonds to ABS"
G,Amazon.nl / bouwmarkt,tape,"Self-amalgamating silicone tape, 10 m",,8.00,1,8.00,estimate,seals the panel cable entry and any outdoor joint
